town,population,county,LAT,LONG
Carrick-on-Shannon,4500,Leitrim,,
Ballinrobe,2098,Mayo,,
Dungloe,998,Donegal,,
Arklow,8000,Wicklow,52.793056,-6.141389
Belmullet,2000,Mayo,,
Midleton,3000,Cork,,
Ferns,900,Wexford,,
Clane,2500,Kildare,,
Shannon,9673,Clare,52.703889,-8.864167
Stradbally,1178,Laois,,
Killorglin,1627,Kerry,,
Abbeyfeale,1940,Limerick,52.381389,-9.3025
Bunclody,1863,Wexford,,
Ballybofey,4852,Donegal,,
Ballinamore,,Leitrim,,
Letterkenny,7200,Donegal,54.95,-7.733333
Bailieborough,3908,Cavan,53.916667,-6.966667
Buttevant,,Cork,52.233333,-8.666667
Oldcastle,,Meath,53.768333,-7.158611
Gort,,Galway,53.066389,-8.816667
Abbeyleix,,Laois,52.899167,-7.3575
Ballymahon,2661,Longford,53.566667,-7.766667
Castlemaine,,Kerry,52.166667,-9.7
Ballaghaderreen,,Roscommon,,
Mullingar,20103,Westmeath,,
Baltinglass,,Wicklow,52.937222,-6.709167
Virginia,,Cavan,53.833889,-7.075556
Waterville,,Kerry,51.833333,-10.166667
Tullamore,8600,Offaly,53.273889,-7.488889
Durrow,,Laois,,
Mountrath,,Laois,52.998889,-7.472778
Castledermot,,Kildare,52.908889,-6.842222
Bundoran,1500,Donegal,,
Ennistymon,,Clare,52.944722,-9.292222
Drumshanbo,,Leitrim,54.05,-8.033333
Lisdoonvarna,,Clare,53.032778,-9.288333
Kells,2200,Meath,53.726389,-6.879167
Ballina,6600,Mayo,54.116667,-9.166667
Donegal,2618,Donegal,,
Monasterevin,3710,Kildare,53.140556,-7.066389
Falcarragh,,Donegal,,
Skerries,9671,Dublin,53.582778,-6.108333
Templemore,1943,Tipperary,52.794722,-7.833889
Ballincollig,17368,Cork,51.883333,-8.583333
Castlebar,6100,Mayo,53.85,-9.3
Knock,,Mayo,,
Granard,,Longford,,
Maynooth,15905,Kildare,53.385,-6.593611
Tobercurry,,Sligo,,
Banteer,,Cork,52.116667,-8.9
Raphoe,,Donegal,,
Sallins,5283,Kildare,53.248889,-6.666111
Cloghan,,Offaly,53.221667,-7.884167
Belturbet,,Cavan,,
Graiguenamanagh,,Kilkenny,52.540278,-6.954722
Edenderry,10490,Offaly,53.345278,-7.049722
Monaghan,5800,Monaghan,,
Dunboyne,6959,Meath,53.4,-6.466667
Cashel,2500,Tipperary,52.515833,-7.885556
Clones,2100,Monaghan,54.183333,-7.233333
Buncrana,6839,Donegal,,
Greenore,,Louth,54.033333,-6.133333
Dingle,,Kerry,,
Newmarket on Fergus,,Clare,52.76,-8.895556
Castletownbere,,Cork,51.65,-9.916667
Kildare,8142,Kildare,53.156111,-6.914444
Mountbellew,,Galway,,
Dungarvan,6900,Waterford,52.088056,-7.625278
Mohill,,Leitrim,,
Bray,25100,Wicklow,53.202778,-6.098333
Leixlip,15452,Kildare,53.365833,-6.495556
Navan,3400,Meath,,
Fethard,,Tipperary,52.467222,-7.691111
Castlecomer,,Kilkenny,52.806111,-7.210556
Kilcullen,,Kildare,53.130278,-6.744444
Oranmore,4799,Galway,53.268333,-8.92
Kilbeggan,,Westmeath,,
Headford,,Galway,53.466667,-9.1
Clonakilty,2400,Cork,,
Castleblayney,2000,Monaghan,,
Malahide,15846,Dublin,53.450833,-6.154444
Cloyne,1'803,Cork,51.862778,-8.124444
Celbridge,21857,Kildare,53.338611,-6.543611
Blessington,,Wicklow,53.17,-6.5325
Westport,6198,Mayo,,
Athenry,,Galway,53.296389,-8.743056
Thurles,6700,Tipperary,52.681944,-7.802222
Manorhamilton,,Leitrim,,
Athboy,,Meath,,
Cahir,,Tipperary,,
Milford,,Donegal,,
Wexford,9500,Wexford,,
Crossmolina,,Mayo,,
Rathdrum,1586,Wicklow,52.926389,-6.235556
Kinnegad,2150,Westmeath,,
Birr,3300,Offaly,53.091389,-7.913333
Port Laoise,20145,Laois,53.032222,-7.3
Kilcock,5533,Kildare,53.402222,-6.670833
Newmarket,,Cork,52.216667,-9
Drogheda,23800,Louth,,
Killarney,7300,Kerry,52.05,-9.516667
Fermoy,6585,Cork,52.135833,-8.275833
Lucan,,Dublin,,
Mullinavat,,Kilkenny,52.367222,-7.164722
Elphin,,Roscommon,53.85,-8.2
Listowel,3300,Kerry,,
Foynes,,Limerick,,
Thomastown,,Kilkenny,52.526667,-7.137222
Moville,,Donegal,,
Lifford,,Donegal,54.831944,-7.483611
Ennis,13700,Clare,52.843611,-8.986389
Roscrea,,Tipperary,52.951111,-7.801667
Boyle,,Roscommon,53.966667,-8.3
Macroom,2400,Cork,51.9,-8.95
Bandon,6640,Cork,51.746944,-8.7425
Bantry,3309,Cork,51.683333,-9.45
Mitchelstown,3677,Cork,52.265833,-8.268056
Ballyjamesduff,,Cavan,53.865278,-7.202778
Tramore,10328,Waterford,52.158889,-7.146389
Killybegs,,Donegal,54.633333,-8.45
