"","X","sale_date","address","county","price","nfmp","vx","desc","year","price_adj","town","provence"
"955",955,"2010-01-27","murrisk, westport","mayo",157500,"Yes","No","Second-Hand Dwelling house /Apartment",2010,157500,"westport","connacht"
"1310",1310,"2010-02-04","2 harbour village, westport","mayo",160000,"No","No","Second-Hand Dwelling house /Apartment",2010,160000,"westport","connacht"
"1457",1457,"2010-02-05","clooneen, rosbeg, westport","mayo",427983,"No","Yes","New Dwelling house /Apartment",2010,485760.705,"westport","connacht"
"1928",1928,"2010-02-16","lecanvy, westport","mayo",124000,"Yes","No","Second-Hand Dwelling house /Apartment",2010,124000,"westport","connacht"
"2335",2335,"2010-02-24","carrabaun, westport","mayo",95000,"No","No","Second-Hand Dwelling house /Apartment",2010,95000,"westport","connacht"
"2406",2406,"2010-02-25","ballinrobe road, westport","mayo",160000,"No","No","Second-Hand Dwelling house /Apartment",2010,160000,"westport","connacht"
"2410",2410,"2010-02-25","cloona, westport","mayo",280000,"No","No","Second-Hand Dwelling house /Apartment",2010,280000,"westport","connacht"
"2552",2552,"2010-02-26","the fairgreen, westport","mayo",157000,"No","No","Second-Hand Dwelling house /Apartment",2010,157000,"westport","connacht"
"3016",3016,"2010-03-09","the fairgreen, westport","mayo",145000,"No","No","Second-Hand Dwelling house /Apartment",2010,145000,"westport","connacht"
"3521",3521,"2010-03-19","no.5 fernhill grove, knockranny, westport","mayo",348017.61,"No","Yes","New Dwelling house /Apartment",2010,394999.98735,"westport","connacht"
"3886",3886,"2010-03-26","carrowkeeran, murrisk, westport","mayo",287000,"No","No","Second-Hand Dwelling house /Apartment",2010,287000,"westport","connacht"
"3945",3945,"2010-03-29","22 the kiln, westport","mayo",110000,"Yes","No","Second-Hand Dwelling house /Apartment",2010,110000,"westport","connacht"
"3957",3957,"2010-03-29","35 the elms, johns row, westport","mayo",210000,"No","No","Second-Hand Dwelling house /Apartment",2010,210000,"westport","connacht"
"3983",3983,"2010-03-29","99 knockaphunta park, westport rd., castlebar","mayo",185000,"No","No","Second-Hand Dwelling house /Apartment",2010,185000,"westport","connacht"
"4786",4786,"2010-04-14","3ashwood meadows, westport","mayo",160000,"No","Yes","New Dwelling house /Apartment",2010,181600,"westport","connacht"
"5375",5375,"2010-04-23","polranny, achill sound, westport","mayo",148000,"No","No","Second-Hand Dwelling house /Apartment",2010,148000,"westport","connacht"
"6037",6037,"2010-05-06","18 the fairways, golf course road, westport","mayo",175000,"No","No","Second-Hand Dwelling house /Apartment",2010,175000,"westport","connacht"
"6111",6111,"2010-05-07","18th fairways, golf course road, westport","mayo",175000,"No","No","Second-Hand Dwelling house /Apartment",2010,175000,"westport","connacht"
