,town_check,town_set,county,
"Abbeyside, Waterford",Abbeyside,Abbeyside, Waterford,218
"Abbeydorney, Kerry",Abbeydorney,Abbeydorney, Kerry,218
"Abbeyfeale, Limerick",Abbeyfeale,Abbeyfeale, Limerick,1683
"Abbeyleix, Laois",Abbeyleix,Abbeyleix, Laois,1383
"Achill Sound, Mayo",Achill Sound,Achill Sound, Mayo,355
"Adamstown, Wexford",Adamstown,Adamstown, Wexford,176
"Adare, Limerick",Adare,Adare, Limerick,1102
"Aghada-Farsid-Rostellan, Cork",Aghada,Aghada, Cork,774
,Farsid,Aghada,Cork,
,Rostellan,Aghada,Cork,
"Aglish, Waterford",Aglish,Aglish, Waterford,193
"Ahascragh, Galway",Ahascragh,Ahascragh, Galway,271
"Allenwood, Kildare",Allenwood,Allenwood, Kildare,481
"Annacotty, Limerick",Annacotty,Annacotty, Limerick,1342
"Annagry, Donegal",Annagry,Annagry, Donegal,247
"Annascaul, Kerry",Annascaul,Annascaul, Kerry,202
"Ardagh, Limerick",Ardagh,Ardagh, Limerick,270
"Ardara, Donegal",Ardara,Ardara, Donegal,578
"Ardee, Louth",Ardee,Ardee, Louth,3948
"Ardfert, Kerry",Ardfert,Ardfert, Kerry,691
"Ardfinnan, Tipperary South",Ardfinnan,Ardfinnan, Tipperary South,779
"Ardmore, Waterford",Ardmore,Ardmore, Waterford,459
"Ardnacrusha (Castlebank), Clare",Ardnacrusha,Ardnacrusha (Castlebank), Clare,926
,Castlebank,#VALUE!,Clare,
"Ardskeagh, Clare",Ardskeagh,Ardskeagh, Clare,149
"Arklow Town, Wicklow",Arklow,Arklow, Wicklow,9993
"Arvagh, Cavan",Arvagh,Arvagh, Cavan,357
"Ashbourne, Meath",Ashbourne,Ashbourne, Meath,6362
"Ashford, Wicklow",Ashford,Ashford, Wicklow,1356
"Askeaton, Limerick",Askeaton,Askeaton, Limerick,921
"Athboy, Meath",Athboy,Athboy, Meath,1538
"Athea, Limerick",Athea,Athea, Limerick,410
"Athenry, Galway",Athenry,Athenry, Galway,2154
"Athlone Town, Westmeath",Athlone,Athlone, Westmeath,15936
"Athy Town, Kildare",Athy,Athy, Kildare,6049
"Aughrim, Wicklow",Aughrim,Aughrim, Wicklow,871
"Avoca, Wicklow",Avoca,Avoca, Wicklow,564
"Bailieborough, Cavan",Bailieborough,Bailieborough, Cavan,1660
"Balbriggan, Fingal, Dublin",Balbriggan,Balbriggan," Fingal, Dublin",10294
"Balla, Mayo",Balla,Balla, Mayo,443
"Ballaghaderreen, Roscommon",Ballaghaderreen,Ballaghaderreen, Roscommon,1416
"Ballina, Mayo",Ballina,Ballina, Mayo,9647
"Ballina, Tipperary",Ballina,Ballina, Tipperary,1185
"Ballinagh, Cavan",Ballinagh,Ballinagh, Cavan,502
"Ballinakill, Laois",Ballinakill,Ballinakill, Laois,328
"Ballinamore, Leitrim",Ballinamore,Ballinamore, Leitrim,687
"Ballinasloe Town, Galway",Ballinasloe,Ballinasloe, Galway,6129
"Ballincar, Sligo",Ballincar,Ballincar, Sligo,510
"Ballindine, Mayo",Ballindine,Ballindine, Mayo,297
"Ballineen and Enniskean, Cork",Ballineen,Ballineen and Enniskean,Cork,619
,Enniskean,#VALUE!,Cork,
"Ballingarry, Limerick",Ballingarry,Ballingarry, Limerick,348
"Ballingarry, Tipperary South",Ballingarry,Ballingarry, Tipperary South,314
"Ballingeary, Cork",Ballingeary,Ballingeary, Cork,205
"Ballinlough, Roscommon",Ballinlough,Ballinlough, Roscommon,254
"Ballinroad, Waterford",Ballinroad,Ballinroad, Waterford,431
"Ballinrobe, Mayo",Ballinrobe,Ballinrobe, Mayo,1626
"Ballintra, Donegal",Ballintra,Ballintra, Donegal,216
"Ballisodare, Sligo",Ballisodare,Ballisodare, Sligo,853
"Ballitore, Kildare",Ballitore,Ballitore, Kildare,338
"Ballivor, Meath",Ballivor,Ballivor, Meath,793
"Ballon, Carlow",Ballon,Ballon, Carlow,284
"Ballyagran, Limerick",Ballyagran,Ballyagran, Limerick,185
"Ballybay, Monaghan",Ballybay,Ballybay, Monaghan,437
"Ballybay Environs, Monaghan",Ballybay Environs,Ballybay Environs, Monaghan,627
"Ballybofey-Stranorlar, Donegal",Ballybofey,Ballybofey, Donegal,3603
,Stranorlar,Stranorlar,Donegal,
"Ballyboghil, Fingal",Ballyboghil,Ballyboghil, Fingal,313
"Ballybunion, Kerry",Ballybunion,Ballybunion, Kerry,1329
"Ballycanew, Wexford",Ballycanew,Ballycanew, Wexford,302
"Ballycannan, Clare",Ballycannan,Ballycannan, Clare,654
"Ballycastle, Mayo",Ballycastle,Ballycastle, Mayo,249
"Ballyclerahan, Tipperary South",Ballyclerahan,Ballyclerahan, Tipperary South,408
"Ballyclogh, Cork",Ballyclogh,Ballyclogh, Cork,208
"Ballyconnell, Cavan",Ballyconnell,Ballyconnell, Cavan,572
"Ballycotton, Cork",Ballycotton,Ballycotton, Cork,425
"Ballycullane, Wexford",Ballycullane,Ballycullane, Wexford,207
"Ballycumber, Offaly",Ballycumber,Ballycumber, Offaly,248
"Ballydehob, Cork",Ballydehob,Ballydehob, Cork,206
"Ballydesmond, Cork",Ballydesmond,Ballydesmond, Cork,193
"Ballyduff, Kerry",Ballyduff,Ballyduff, Kerry,614
"Ballyfarnon, Roscommon",Ballyfarnon,Ballyfarnon, Roscommon,206
"Ballygar, Galway",Ballygar,Ballygar, Galway,642
"Ballygeary (or Rosslare Harbour), Wexford",Ballygeary,Ballygeary, Wexford,1038
,Rosslare,Ballygeary,Wexford,
,Rosslare Harbour,Ballygeary,Wexford,
"Ballyhack, Wexford",Ballyhack,Ballyhack, Wexford,210
"Ballyhaise, Cavan",Ballyhaise,Ballyhaise, Cavan,530
"Ballyhaunis, Mayo",Ballyhaunis,Ballyhaunis, Mayo,1381
"Ballyheigue, Kerry",Ballyheigue,Ballyheigue, Kerry,626
"Ballyhooly, Cork",Ballyhooly,Ballyhooly, Cork,179
"Ballyjamesduff, Cavan",Ballyjamesduff,Ballyjamesduff, Cavan,871
"Ballylanders, Limerick",Ballylanders,Ballylanders, Limerick,333
"Ballyliffin, Donegal",Ballyliffin,Ballyliffin, Donegal,313
"Ballylinan, Laois",Ballylinan,Ballylinan, Laois,430
"Ballylongford, Kerry",Ballylongford,Ballylongford, Kerry,405
"Ballymahon, Longford",Ballymahon,Ballymahon, Longford,827
"Ballymakeery, Cork",Ballymakeery,Ballymakeery, Cork,337
"Ballymore, Westmeath",Ballymore,Ballymore, Westmeath,239
"Ballymore Eustace, Kildare",Ballymore Eustace,Ballymore Eustace, Kildare,786
"Ballymote, Sligo",Ballymote,Ballymote, Sligo,981
"Ballymulcashel, Clare",Ballymulcashel,Ballymulcashel, Clare,255
"Ballynacargy, Westmeath",Ballynacargy,Ballynacargy, Westmeath,260
"Ballyoulster, Kildare",Ballyoulster,Ballyoulster, Kildare,411
"Ballyporeen, Tipperary South",Ballyporeen,Ballyporeen, Tipperary South,295
"Ballyragget, Kilkenny",Ballyragget,Ballyragget, Kilkenny,821
"Ballyroan, Laois",Ballyroan,Ballyroan, Laois,142
"Ballyroe, Kildare",Ballyroe,Ballyroe, Kildare,151
"Ballysax, Kildare",Ballysax,Ballysax, Kildare,170
"Ballyshannon, Donegal",Ballyshannon,Ballyshannon, Donegal,2715
"Ballysimon, Wexford",Ballysimon,Ballysimon, Wexford,217
"Ballyvaughan, Clare",Ballyvaughan,Ballyvaughan, Clare,201
"Balreask, Meath",Balreask,Balreask, Meath,221
"Baltimore, Cork",Baltimore,Baltimore, Cork,383
"Baltinglass, Wicklow",Baltinglass,Baltinglass, Wicklow,1260
"Baltray, Louth",Baltray,Baltray, Louth,120
"Banagher, Offaly",Banagher,Banagher, Offaly,1553
"Bandon, Cork",Bandon,Bandon, Cork,5051
"Bangor Erris, Mayo",Bangor Erris,Bangor Erris, Mayo,266
"Bansha, Tipperary South",Bansha,Bansha, Tipperary South,302
"Banteer, Cork",Banteer,Banteer, Cork,327
"Bantry, Cork",Bantry,Bantry, Cork,3150
"Barntown, Wexford",Barntown,Barntown, Wexford,394
"Beaufort, Kerry",Beaufort,Beaufort, Kerry,159
"Bellanode, Monaghan",Bellanode,Bellanode, Monaghan,330
"Belmont, Offaly",Belmont,Belmont, Offaly,252
"Belmullet, Mayo",Belmullet,Belmullet, Mayo,952
"Belturbet, Cavan",Belturbet,Belturbet, Cavan,1295
